requested_timestamp,symbol,name,error,datetime,open,high,low,close,volume,query_timestamp
2025-11-18 01:28 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:28 UTC,,,,,,,2025-11-18 01:28
2025-11-18 01:28 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:28 UTC,,,,,,,2025-11-18 01:28
2025-11-18 01:28 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:28 UTC,4038.199951171875,4039.0,4036.0,4038.800048828125,159,2025-11-18 01:28
2025-11-18 01:29 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:29 UTC,,,,,,,2025-11-18 01:29
2025-11-18 01:29 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:29 UTC,,,,,,,2025-11-18 01:29
2025-11-18 01:29 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:29 UTC,4039.0,4040.10009765625,4038.39990234375,4038.800048828125,227,2025-11-18 01:29
2025-11-18 01:30 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:30 UTC,,,,,,,2025-11-18 01:30
2025-11-18 01:30 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:30 UTC,,,,,,,2025-11-18 01:30
2025-11-18 01:30 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:30 UTC,4039.60009765625,4040.39990234375,4039.199951171875,4039.60009765625,30,2025-11-18 01:30
2025-11-18 01:31 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:31 UTC,,,,,,,2025-11-18 01:31
2025-11-18 01:31 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:31 UTC,,,,,,,2025-11-18 01:31
2025-11-18 01:31 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:31 UTC,4039.699951171875,4039.89990234375,4038.60009765625,4039.89990234375,53,2025-11-18 01:31
2025-11-18 01:32 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:32 UTC,,,,,,,2025-11-18 01:32
2025-11-18 01:32 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:32 UTC,,,,,,,2025-11-18 01:32
2025-11-18 01:32 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:32 UTC,4039.60009765625,4039.60009765625,4037.199951171875,4037.89990234375,31,2025-11-18 01:32
2025-11-18 01:33 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:33 UTC,,,,,,,2025-11-18 01:33
2025-11-18 01:33 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:33 UTC,,,,,,,2025-11-18 01:33
2025-11-18 01:33 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:33 UTC,4037.5,4038.89990234375,4037.10009765625,4038.199951171875,31,2025-11-18 01:33
2025-11-18 01:34 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:34 UTC,,,,,,,2025-11-18 01:34
2025-11-18 01:34 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:34 UTC,,,,,,,2025-11-18 01:34
2025-11-18 01:34 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:34 UTC,4037.89990234375,4038.10009765625,4034.5,4035.10009765625,144,2025-11-18 01:34
2025-11-18 01:35 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:35 UTC,,,,,,,2025-11-18 01:35
2025-11-18 01:35 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:35 UTC,,,,,,,2025-11-18 01:35
2025-11-18 01:35 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:35 UTC,4034.10009765625,4036.5,4033.60009765625,4035.300048828125,121,2025-11-18 01:35
2025-11-18 01:36 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:36 UTC,,,,,,,2025-11-18 01:36
2025-11-18 01:36 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:36 UTC,,,,,,,2025-11-18 01:36
2025-11-18 01:36 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:36 UTC,4035.199951171875,4038.0,4035.10009765625,4036.60009765625,61,2025-11-18 01:36
2025-11-18 01:37 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:37 UTC,,,,,,,2025-11-18 01:37
2025-11-18 01:37 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:37 UTC,,,,,,,2025-11-18 01:37
2025-11-18 01:37 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:37 UTC,4036.699951171875,4036.699951171875,4033.300048828125,4034.10009765625,68,2025-11-18 01:37
2025-11-18 01:38 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:38 UTC,,,,,,,2025-11-18 01:38
2025-11-18 01:38 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:38 UTC,,,,,,,2025-11-18 01:38
2025-11-18 01:38 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:38 UTC,4033.39990234375,4037.199951171875,4033.39990234375,4036.5,74,2025-11-18 01:38
2025-11-18 01:39 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:39 UTC,,,,,,,2025-11-18 01:39
2025-11-18 01:39 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:39 UTC,,,,,,,2025-11-18 01:39
2025-11-18 01:39 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:39 UTC,4036.5,4038.0,4034.89990234375,4037.800048828125,58,2025-11-18 01:39
2025-11-18 01:40 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:40 UTC,,,,,,,2025-11-18 01:40
2025-11-18 01:40 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:40 UTC,,,,,,,2025-11-18 01:40
2025-11-18 01:40 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:40 UTC,4037.89990234375,4039.0,4036.39990234375,4037.89990234375,100,2025-11-18 01:40
2025-11-18 01:41 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:41 UTC,,,,,,,2025-11-18 01:41
2025-11-18 01:41 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:41 UTC,,,,,,,2025-11-18 01:41
2025-11-18 01:41 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:41 UTC,4038.0,4038.0,4033.5,4033.5,116,2025-11-18 01:41
2025-11-18 01:42 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:42 UTC,,,,,,,2025-11-18 01:42
2025-11-18 01:42 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:42 UTC,,,,,,,2025-11-18 01:42
2025-11-18 01:42 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:42 UTC,4033.39990234375,4033.89990234375,4030.0,4030.0,209,2025-11-18 01:42
2025-11-18 01:43 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:43 UTC,,,,,,,2025-11-18 01:43
2025-11-18 01:43 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:43 UTC,,,,,,,2025-11-18 01:43
2025-11-18 01:43 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:43 UTC,4030.699951171875,4031.89990234375,4028.800048828125,4030.300048828125,241,2025-11-18 01:43
2025-11-18 01:44 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:44 UTC,,,,,,,2025-11-18 01:44
2025-11-18 01:44 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:44 UTC,,,,,,,2025-11-18 01:44
2025-11-18 01:44 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:44 UTC,4030.39990234375,4032.60009765625,4030.199951171875,4032.199951171875,58,2025-11-18 01:44
2025-11-18 01:45 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:45 UTC,,,,,,,2025-11-18 01:45
2025-11-18 01:45 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:45 UTC,,,,,,,2025-11-18 01:45
2025-11-18 01:45 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:45 UTC,4031.60009765625,4032.89990234375,4030.10009765625,4032.10009765625,115,2025-11-18 01:45
2025-11-18 01:46 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:46 UTC,,,,,,,2025-11-18 01:46
2025-11-18 01:46 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:46 UTC,,,,,,,2025-11-18 01:46
